ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	TAG	BROADER_CONCEPT	BROADER_ID
Tjuka-2022-220-107	107	1248	EYE	EYE	human body part		
Tjuka-2022-220-109	109	1540	EYELASH	EYELASH	human body part		
Tjuka-2022-220-111	111	1560	FACE	FACE	human body part		
Tjuka-2022-220-112	112	1303	FINGER	FINGER	human body part	FINGER OR TOE	2120
Tjuka-2022-220-116	116	123	FOREHEAD	FOREHEAD	human body part	HAIR OR FOREHEAD	2107
Tjuka-2022-220-122	122	1277	HAND	HAND	human body part	ARM OR HAND	2121
Tjuka-2022-220-123	123	1256	HEAD	HEAD	human body part		
Tjuka-2022-220-125	125	1745	HIP	HIP	human body part		
Tjuka-2022-220-129	129	798	JAW	JAW	human body part		
Tjuka-2022-220-134	134	1297	LEG	LEG	human body part	FOOT OR LEG	2098
Tjuka-2022-220-135	135	478	LIP	LIP	human body part		
Tjuka-2022-220-144	144	674	MOUTH	MOUTH	human body part		
Tjuka-2022-220-147	147	1838	NAVEL	NAVEL	human body part		
Tjuka-2022-220-148	148	1333	NECK	NECK	human body part		
Tjuka-2022-220-150	150	796	NIPPLE	NIPPLE	human body part		
Tjuka-2022-220-151	151	1221	NOSE	NOSE	human body part		
Tjuka-2022-220-164	164	1482	SHOULDER	SHOULDER	human body part		
Tjuka-2022-220-180	180	1389	TOE	TOE	human body part	FINGER OR TOE	2120
Tjuka-2022-220-181	181	1205	TONGUE	TONGUE	human body part		
Tjuka-2022-220-182	182	1380	TOOTH	TOOTH	human body part		
Tjuka-2022-220-191	191	799	WRIST	WRIST	human body part		
Tjuka-2022-220-193	193	1552	GLOOMY	GLOOMY	emotion		
Tjuka-2022-220-194	194	1495	HAPPY	HAPPY	emotion		
Tjuka-2022-220-195	195	1607	HATE	HATE	emotion		
Tjuka-2022-220-196	196	1092	HOPE	HOPE	emotion		
Tjuka-2022-220-197	197	923	LOVE	LOVE	emotion		
Tjuka-2022-220-198	198	174	PROUD	PROUD	emotion		
Tjuka-2022-220-199	199	1875	REGRET	REGRET	emotion		
Tjuka-2022-220-200	200	699	SAD	SAD	emotion		
Tjuka-2022-220-201	201	1572	SURPRISED	SURPRISED	emotion		
Tjuka-2022-220-202	202	150	WORRY	WORRY	emotion		
Tjuka-2022-220-203	203	1976	MERRY	MERRY	emotion		
Tjuka-2022-220-204	204	2117	DESIRE	DESIRE	emotion		
Tjuka-2022-220-205	205	1035	GOOD	GOOD	emotion		
Tjuka-2022-220-206	206	1117	LIKE	LIKE	emotion		
Tjuka-2022-220-207	207	1292	BAD	BAD	emotion	BAD OR EVIL	3764
Tjuka-2022-220-208	208	1784	WANT	WANT	emotion		
Tjuka-2022-220-209	209	1826	ANGRY	ANGRY	emotion		
Tjuka-2022-220-210	210	2716	BLAME (SOMEBODY)	BLAME (SOMEBODY)	emotion		
Tjuka-2022-220-211	211	3299	KIND	KIND	emotion		
Tjuka-2022-220-212	212	1308	DOUBT	DOUBT	emotion		
Tjuka-2022-220-213	213	3762	SAFE	SAFE	emotion		
Tjuka-2022-220-214	214	1894	ASHAMED	ASHAMED	emotion		
Tjuka-2022-220-215	215	3885	IMPATIENT	IMPATIENT	emotion		
Tjuka-2022-220-216	216	1900	ASTONISHED	ASTONISHED	emotion		
Tjuka-2022-220-217	217	2821	JEALOUS	JEALOUS	emotion		
Tjuka-2022-220-218	218	3033	SCARED	SCARED	emotion		
Tjuka-2022-220-219	219	3884	PATIENT	PATIENT	emotion		
Tjuka-2022-220-220	220	1955	GRIEVE	GRIEVE	emotion		
